categ,quality_score,file,page_num,line_num,text,original_text,split_ws,split_we,lang,lang_score,original_lang,orig_lang_score,perplex,word_count,char_count,garbage_density,upper,repeated,ldl_fuses,fused_words,gibberish,weird_wx,word_weird,vowel_ratio,rot_ratio,caps_header,allcaps_novowel,lowppl_clear,cleanprose_clear,trash_threshold,noisy_threshold,clear_threshold,pp_dedup,pp_surrounded_trash,pp_inverted_run,pp_page_context
Noisy,0.7392,CTX193001369,1,1,NĚ KATOVICE,NĚ KATOVICE,,,ces_Latn,1.0000,ces_Latn,1.0000,850.00,2,11,0.0000,0,0,0,0,0,0,0.0000,0.5000,0.4000,True,False,False,False,False,True,False,False,False,False,False
Trash,0.5499,CTX193001369,1,2,okr. Brandýs n/L.,okr. Brandýs n/L.,,,slk_Latn,0.4488,slk_Latn,0.4488,1592.00,3,17,0.1765,0,0,0,0,0,0,0.0000,0.2000,0.5000,False,False,False,False,True,False,False,False,False,False,False
Non-text,0.0,CTX193001369,1,3,GEC,GEC,,,,0.0,,0.0,0.0,0,3,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Empty,0.0,CTX193001369,1,4,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Trash,0.4643,CTX193001369,1,5,"ČSL sTAT""I ARCaACONCCN t., .","ČSL sTAT""I ARCaACONCCN t., .",,,ces_Latn,0.3600,ces_Latn,0.3600,3168.00,5,28,0.1429,2,1,0,0,0,0,0.3100,0.2500,0.2500,False,False,False,False,True,False,False,False,False,False,False
Trash,0.4698,CTX193001369,1,6,ŕ : UW Dos & 837mm. i b.,ŕ : UW Dos & 837mm. i b.,,,ces_Latn,0.7500,nld_Latn,0.3847,1168.00,8,24,0.1667,0,1,0,0,0,0,0.4125,0.2143,0.8000,False,False,False,False,True,False,False,False,False,False,False
Trash,0.5469,CTX193001369,1,7,UJ - Počet pilo’a,UJ - Počet pilo’a,,,slk_Latn,0.4606,slk_Latn,0.4606,856.00,4,17,0.1176,0,0,0,0,0,0,0.1000,0.4286,0.5000,False,False,False,False,True,False,False,False,False,False,False
Empty,0.0,CTX193001369,1,8,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.8848,CTX193001369,1,9,Hroby se zvôncovymi poháry.,Hroby se zvôncovymi poháry.,,,ces_Latn,0.9685,ces_Latn,0.9685,1032.00,4,27,0.0370,0,0,0,0,0,0,0.0000,0.3750,0.6522,False,False,False,False,False,False,True,False,False,False,False
Empty,0.0,CTX193001369,1,10,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Non-text,0.0,CTX193001369,1,11,F,F,,,,0.0,,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Non-text,0.0,CTX193001369,2,1,A.,A.,,,,0.0,,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Empty,0.0,CTX193001369,2,2,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.8565,CTX193001369,2,3,NERATOVICE.,NERATOVICE.,,,slk_Latn,0.3129,slk_Latn,0.3129,850.00,1,11,0.0909,0,0,0,0,0,0,0.0000,0.4545,0.5000,True,False,False,False,False,False,True,False,False,False,False
Noisy,0.7265,CTX193001369,2,4,okr. Brandýs n/L. GEC,okr. Brandýs n/L. GEC,,,ces_Latn,0.6663,ces_Latn,0.6663,1808.00,4,21,0.1429,0,0,0,0,0,0,0.0000,0.2222,0.4667,False,False,False,False,False,True,False,False,False,False,False
Empty,0.0,CTX193001369,2,5,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.9609,CTX193001369,2,6,Hrobyse zvoncovými poháry,Hrobyse zvoncovými poháry,,,ces_Latn,0.8634,ces_Latn,0.8634,216.00,3,25,0.0000,0,0,0,0,0,0,0.0000,0.4348,0.6522,False,False,False,False,False,False,True,False,False,False,False
Empty,0.0,CTX193001369,2,7,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.9478,CTX193001369,2,8,"Na levém břehu Labe v Neratovicích, v pískovně továrny GEC roz-","Na levém břehu Labe v Neratovicích, v pískovně továrny GEC roz-",,,ces_Latn,1.0000,ces_Latn,1.0000,356.00,11,63,0.0317,0,0,0,0,0,0,0.0000,0.3774,0.5294,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9396,CTX193001369,2,9,"kládalose větší pohřebiště se zvoncovými poháry, jež bylo v r.1928","kládalose větší pohřebiště se zvoncovými poháry, jež bylo v r.1928",,,ces_Latn,1.0000,ces_Latn,1.0000,38.00,10,66,0.0303,0,0,0,0,0,0,0.0000,0.3962,0.5098,False,False,True,False,False,False,False,False,False,False,False
Noisy,0.5500,CTX193001369,2,10,prozkoumáno St.A.0. *ot> 8y A*- * “7 -,prozkoumáno St.A.0. *ot> 8y A*- * “7 -,,,ces_Latn,0.9767,ces_Latn,0.9767,1000.00,8,38,0.2632,0,0,1,0,0,0,0.1688,0.3214,0.6111,False,False,False,False,False,True,False,False,False,False,False
Non-text,0.0,CTX193001369,2,11,' w.,' w.,,,,0.0,,0.0,0.0,0,4,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.8000,CTX193001369,2,12,"Hrob 1. / 20•A. 1928. / Poloha milodarů nemohla býti zjištěna,","Hrob 1. / 20•A. 1928. / Poloha milodarů nemohla býti zjištěna,",zji,,ces_Latn,0.9999,ces_Latn,0.9999,82.00,11,62,0.1129,0,0,1,0,0,0,0.0500,0.3778,0.3947,False,False,False,False,False,False,True,False,False,False,False
