categ,quality_score,file,page_num,line_num,text,original_text,split_ws,split_we,lang,lang_score,original_lang,orig_lang_score,perplex,word_count,char_count,garbage_density,upper,repeated,ldl_fuses,fused_words,gibberish,weird_wx,word_weird,vowel_ratio,rot_ratio,caps_header,allcaps_novowel,lowppl_clear,cleanprose_clear,trash_threshold,noisy_threshold,clear_threshold,pp_dedup,pp_surrounded_trash,pp_inverted_run,pp_page_context
Clear,0.9222,CTX197901442,1,1,OBEC,OBEC,,,ces_Latn,0.9997,ces_Latn,0.9997,732.00,1,4,0.0000,0,0,0,0,0,0,0.0000,0.5000,0.7500,True,False,False,False,False,False,True,False,False,False,False
Noisy,0.5499,CTX197901442,1,2,OKRES,OKRES,,,ces_Latn,0.5998,ces_Latn,0.5998,850.00,1,5,0.0000,0,0,0,0,0,0,0.0000,0.4000,0.6000,True,False,False,False,True,False,False,False,False,False,True
Non-text,0.0,CTX197901442,1,3,‘ *4242& -,‘ *4242& -,,,,0.0,,0.0,0.0,0,10,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.8341,CTX197901442,1,4,Vysoký jez .,Vysoký jez .,,,ces_Latn,0.9993,ces_Latn,0.9993,127.00,3,12,0.0833,0,0,0,0,0,0,0.0000,0.4000,0.6667,False,False,False,False,False,False,True,False,False,False,False
Trash,0.5040,CTX197901442,1,5,Mad DrAMou,Mad DrAMou,,,ces_Latn,0.7500,por_Latn,0.5009,850.00,2,10,0.0000,1,0,0,0,0,0,0.1250,0.4444,0.6667,False,False,False,False,True,False,False,False,False,False,False
Clear,0.9621,CTX197901442,1,6,ČÍSLO PARCELY,ČÍSLO PARCELY,,,slk_Latn,0.8507,slk_Latn,0.8507,163.00,2,13,0.0000,0,0,0,0,0,0,0.0000,0.4167,0.4167,True,False,False,False,False,False,True,False,False,False,False
Empty,0.0,CTX197901442,1,7,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.8038,CTX197901442,1,8,Rychnov n.Kn.,Rychnov n.Kn.,,,ces_Latn,0.8940,ces_Latn,0.8940,472.00,2,13,0.1538,0,0,0,0,0,0,0.2500,0.1667,0.6000,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9777,CTX197901442,1,9,Přílohy,Přílohy,,,ces_Latn,1.0000,ces_Latn,1.0000,46.75,1,7,0.0000,0,0,0,0,0,0,0.0000,0.4286,0.4286,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9291,CTX197901442,1,10,NÁZEV TRATI,NÁZEV TRATI,,,ces_Latn,1.0000,ces_Latn,1.0000,664.00,2,11,0.0000,0,0,0,0,0,0,0.0000,0.4000,0.4000,True,False,False,False,False,False,True,False,False,False,False
Noisy,0.5499,CTX197901442,1,11,Homole - kopec SZ od Vysokí-,Homole - kopec SZ od Vysokí-,,,ces_Latn,0.5807,ces_Latn,0.5807,3376.00,6,28,0.0714,0,0,0,0,0,0,0.0000,0.3913,0.7143,False,False,False,False,True,False,False,False,False,False,True
Clear,0.8977,CTX197901442,1,12,Újezda pokryt lesem.,Újezda pokryt lesem.,,,ces_Latn,0.7876,ces_Latn,0.7876,624.00,3,20,0.0500,0,0,0,0,0,0,0.0000,0.3889,0.5882,False,False,False,False,False,False,True,False,False,False,False
Empty,0.0,CTX197901442,1,13,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Non-text,0.0,CTX197901442,1,14,ho,ho,,,,0.0,,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.9093,CTX197901442,1,15,Kultura Z.,Kultura Z.,,,pol_Latn,0.7928,pol_Latn,0.7928,458.00,2,10,0.1000,0,0,0,0,0,0,0.0000,0.3333,0.3750,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9200,CTX197901442,1,16,ČÍSLO MAPY,ČÍSLO MAPY,,,ces_Latn,0.6173,ces_Latn,0.6173,536.00,2,10,0.0000,0,0,0,0,0,0,0.0000,0.4444,0.5556,True,False,False,False,False,False,True,False,False,False,False
Clear,0.9514,CTX197901442,1,17,Druh nálezu,Druh nálezu,,,ces_Latn,0.6805,ces_Latn,0.6805,185.00,2,11,0.0000,0,0,0,0,0,0,0.0000,0.4000,0.6000,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9150,CTX197901442,1,18,keramcké střepy,keramcké střepy,,,ces_Latn,1.0000,ces_Latn,1.0000,850.00,2,15,0.0000,0,0,0,0,0,0,0.0000,0.3571,0.4286,False,False,False,False,False,False,True,False,False,False,False
Non-text,0.0,CTX197901442,1,19,LITERATURA,LITERATURA,,,,0.0,,0.0,0.0,0,10,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.9120,CTX197901442,1,20,Uložení,Uložení,,,ces_Latn,0.9716,ces_Latn,0.9716,850.00,1,7,0.0000,0,0,0,0,0,0,0.0000,0.5714,0.5714,False,False,False,False,False,False,True,False,False,False,False
Clear,0.8000,CTX197901442,1,21,"Rukopisné poznámky str. 56 , autora .","Rukopisné poznámky str. 56 , autora .",,,slk_Latn,0.8578,slk_Latn,0.8578,112.00,7,37,0.0811,0,0,0,0,0,0,0.0714,0.3793,0.5385,False,False,False,False,False,False,True,False,False,False,False
Clear,0.8527,CTX197901442,1,22,Čis. inv.,Čis. inv.,,,slk_Latn,0.9216,slk_Latn,0.9216,850.00,2,9,0.2222,0,0,0,0,0,0,0.0000,0.2500,0.5000,False,False,False,False,False,False,True,False,False,False,False
Non-text,0.0,CTX197901442,1,23,", ■",", ■",,,,0.0,,0.0,0.0,0,3,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Empty,0.0,CTX197901442,1,24,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Noisy,0.5777,CTX197901442,1,25,Ľne 22. 11.1974 . 7,Ľne 22. 11.1974 . 7,,,slk_Latn,0.5590,slk_Latn,0.5590,27.00,5,19,0.1579,0,0,0,0,0,0,0.0500,0.1667,0.6667,False,False,False,False,False,True,False,False,False,False,False
Clear,0.9005,CTX197901442,1,26,"P.Jirušek starousedlík v obci Vysoký Újezd podal informaci , že před","P.Jirušek starousedlík v obci Vysoký Újezd podal informaci , že před",,,ces_Latn,1.0000,ces_Latn,1.0000,179.00,11,68,0.0294,0,0,0,0,0,0,0.0000,0.3966,0.5179,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9501,CTX197901442,1,27,mnoha lety si rolníci v místě Homole kopali krechty na uskladnení,mnoha lety si rolníci v místě Homole kopali krechty na uskladnení,,,ces_Latn,0.9992,ces_Latn,0.9992,536.00,11,65,0.0000,0,0,0,0,0,0,0.0000,0.4182,0.4727,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9077,CTX197901442,1,28,"brambor a řepy . Při kopání, nalezeno mnoho různých keramických střepu .","brambor a řepy . Při kopání, nalezeno mnoho různých keramických střepu .",,,ces_Latn,1.0000,ces_Latn,1.0000,87.00,12,72,0.0417,0,0,0,0,0,0,0.0000,0.3770,0.5000,False,False,False,False,False,False,True,False,False,False,False
Clear,0.8972,CTX197901442,1,29,Keramický materiál nebyl zachován .,Keramický materiál nebyl zachován .,,,ces_Latn,1.0000,ces_Latn,1.0000,63.75,5,35,0.0286,0,0,0,0,0,0,0.0000,0.4194,0.4000,False,False,False,False,False,False,True,False,False,False,False
Empty,0.0,CTX197901442,1,30,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Noisy,0.5499,CTX197901442,1,31,Nčv* rodte map) 4:2Fee,Nčv* rodte map) 4:2Fee,,,slk_Latn,0.3232,slk_Latn,0.3232,9792.00,4,22,0.1364,0,1,1,0,0,0,0.3500,0.2941,0.6429,False,False,False,False,True,False,False,False,False,False,True
Trash,0.1268,CTX197901442,1,32,<• 55 1501 M,<• 55 1501 M,,,deu_Latn,0.4600,deu_Latn,0.4600,158.00,4,12,0.1667,0,0,0,0,0,0,0.6125,0.0000,1.0000,True,True,False,False,False,False,False,False,False,False,False
