categ,quality_score,file,page_num,line_num,text,original_text,split_ws,split_we,lang,lang_score,original_lang,orig_lang_score,perplex,word_count,char_count,garbage_density,upper,repeated,ldl_fuses,fused_words,gibberish,weird_wx,word_weird,vowel_ratio,rot_ratio,caps_header,allcaps_novowel,lowppl_clear,cleanprose_clear,trash_threshold,noisy_threshold,clear_threshold,pp_dedup,pp_surrounded_trash,pp_inverted_run,pp_page_context
Non-text,0.0,CTX192601143,1,1,Iv,Iv,,,,0.0,,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Trash,0.4490,CTX192601143,1,2,STÁ r,STÁ r,,,ces_Latn,0.7500,gle_Latn,0.8241,850.00,2,5,0.0000,0,0,0,0,0,0,0.4250,0.2500,0.2500,False,False,False,False,True,False,False,False,False,True,False
Empty,0.0,CTX192601143,1,3,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Trash,0.1367,CTX192601143,1,4,/ UoMunLow.,/ UoMunLow.,,,ces_Latn,0.7500,fin_Latn,0.4296,850.00,2,11,0.1818,1,0,0,0,0,0,0.6750,0.4000,0.8750,False,False,False,False,True,False,False,False,False,True,False
Non-text,0.0,CTX192601143,1,5,25,25,,,,0.0,,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Trash,0.5499,CTX192601143,1,6,C LaN-n 0(/r“ (A 30 Gx A 25 so pgAuc4pi) dato md3óny,C LaN-n 0(/r“ (A 30 Gx A 25 so pgAuc4pi) dato md3óny,,,ces_Latn,0.7500,lmo_Latn,0.3385,1064.00,12,52,0.1154,2,0,3,0,0,0,0.2000,0.3235,0.5000,False,False,False,False,True,False,False,False,False,True,False
Trash,0.2586,CTX192601143,1,7,"PRa< (memuX MW~Nofkc nCn.d, 07.,","PRa< (memuX MW~Nofkc nCn.d, 07.,",,,ces_Latn,0.7500,epo_Latn,0.1854,1000.00,5,32,0.2188,4,0,0,0,0,0,0.8700,0.1538,0.6842,False,False,False,False,True,False,False,False,False,True,False
Empty,0.0,CTX192601143,1,8,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Trash,0.3938,CTX192601143,1,9,"' "" ' ‘ ' ' ' "" ‘ , Xo Ajhog ) • 0 ""dle /co* / AO4 6« dez","' "" ' ‘ ' ' ' "" ‘ , Xo Ajhog ) • 0 ""dle /co* / AO4 6« dez",,,ces_Latn,0.7500,glg_Latn,0.7731,880.00,21,57,0.2982,0,0,2,0,0,0,0.3405,0.2353,0.5882,False,False,False,False,True,False,False,False,False,True,False
Trash,0.4318,CTX192601143,1,10,e Q m. n e lopoln . — O,e Q m. n e lopoln . — O,,,ces_Latn,0.7500,glg_Latn,0.5442,1208.00,9,23,0.1304,0,0,0,0,0,0,0.6722,0.3333,0.8333,False,False,False,False,True,False,False,False,False,True,False
