categ,quality_score,file,page_num,line_num,text,original_text,split_ws,split_we,lang,lang_score,original_lang,orig_lang_score,perplex,word_count,char_count,garbage_density,upper,repeated,ldl_fuses,fused_words,gibberish,weird_wx,word_weird,vowel_ratio,rot_ratio,caps_header,allcaps_novowel,lowppl_clear,cleanprose_clear,trash_threshold,noisy_threshold,clear_threshold,pp_dedup,pp_surrounded_trash,pp_inverted_run,pp_page_context
Noisy,0.5499,CTX196300443,1,1,CESKOSLOVENSKA AKADEM’E VEk,CESKOSLOVENSKA AKADEM’E VEk,,,ces_Latn,0.5226,ces_Latn,0.5226,324.00,3,27,0.0370,1,0,0,0,0,0,0.2167,0.4000,0.6250,False,False,False,False,True,False,False,False,False,False,True
Clear,0.9416,CTX196300443,1,2,ABCHEOLOGICKÝ ÚSTAV,ABCHEOLOGICKÝ ÚSTAV,,,slk_Latn,0.5711,slk_Latn,0.5711,260.00,2,19,0.0000,0,0,0,0,0,0,0.0000,0.4444,0.3333,True,False,False,False,False,False,True,False,False,False,False
Noisy,0.5499,CTX196300443,1,3,Exgesitura v Plzal,Exgesitura v Plzal,,,ces_Latn,0.5132,ces_Latn,0.5132,56320.00,3,18,0.0000,0,0,0,0,0,0,0.0667,0.3750,0.5000,False,False,False,False,True,False,False,False,False,False,True
Noisy,0.7405,CTX196300443,1,4,48/63 Plzeň,48/63 Plzeň,,,slk_Latn,0.6716,slk_Latn,0.6716,191.00,2,11,0.0909,0,0,0,0,0,0,0.0000,0.1667,0.6000,False,False,False,False,False,True,False,False,False,False,False
Empty,0.0,CTX196300443,1,5,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Trash,0.3778,CTX196300443,1,6,| c.s * AxCMtOir - <• UAtAv,| c.s * AxCMtOir - <• UAtAv,,,fra_Latn,0.4025,fra_Latn,0.4025,3168.00,7,27,0.2222,2,0,0,0,0,0,0.1857,0.2857,0.4000,False,False,False,False,True,False,False,False,False,False,False
Non-text,0.0,CTX196300443,1,7,", , , / Doe • 19",", , , / Doe • 19",,,,0.0,,0.0,0.0,0,16,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Non-text,0.0,CTX196300443,1,8,"c • /, 2.. . 2 9. ledna 1963","c • /, 2.. . 2 9. ledna 1963",,,,0.0,,0.0,0.0,0,28,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Non-text,0.0,CTX196300443,1,9,/P1,/P1,,,,0.0,,0.0,0.0,0,3,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.9622,CTX196300443,1,10,"Zpráva o archeologické sbírce Vlastivědného muzea v Blovicích,","Zpráva o archeologické sbírce Vlastivědného muzea v Blovicích,",,,ces_Latn,0.9993,ces_Latn,0.9993,34.75,8,62,0.0161,0,0,0,0,0,0,0.1062,0.4000,0.4444,False,False,True,False,False,False,False,False,False,False,False
Noisy,0.7135,CTX196300443,1,11,/okres Plzeň - jih/.,/okres Plzeň - jih/.,,,ces_Latn,0.9974,ces_Latn,0.9974,1064.00,4,20,0.2000,0,0,0,0,0,0,0.0000,0.2353,0.4615,False,False,False,False,False,True,False,False,False,False,False
