categ,quality_score,file,page_num,line_num,text,original_text,split_ws,split_we,lang,lang_score,original_lang,orig_lang_score,perplex,word_count,char_count,garbage_density,upper,repeated,ldl_fuses,fused_words,gibberish,weird_wx,word_weird,vowel_ratio,rot_ratio,caps_header,allcaps_novowel,lowppl_clear,cleanprose_clear,trash_threshold,noisy_threshold,clear_threshold,pp_dedup,pp_surrounded_trash,pp_inverted_run,pp_page_context
Noisy,0.7999,CTX200603179,1,1,"BÍTOV U KONĚPRUS, OKR. BEROUN - STAVBA ELEKTRICKÉ PŘÍPOJKY K RD","BÍTOV U KONĚPRUS, OKR. BEROUN - STAVBA ELEKTRICKÉ PŘÍPOJKY K RD",,,ces_Latn,0.9991,ces_Latn,0.9991,203.00,11,63,0.0476,0,0,0,0,0,0,0.0000,0.3585,0.5000,True,False,False,False,False,True,False,False,False,False,False
Non-text,0.0,CTX200603179,1,2,ČP. 10,ČP. 10,,,,0.0,,0.0,0.0,0,6,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.8719,CTX200603179,1,3,NÁLEZOVÁ ZPRÁVA O ARCHEOLOGICKÉM DOHLEDU P,NÁLEZOVÁ ZPRÁVA O ARCHEOLOGICKÉM DOHLEDU P,,,ces_Latn,1.0000,ces_Latn,1.0000,90.00,6,42,0.0000,0,0,0,0,0,0,0.2833,0.4324,0.5135,True,False,False,False,False,False,True,False,False,False,False
Noisy,0.5499,CTX200603179,1,4,*AVerPEPNeblogický ústav,*AVerPEPNeblogický ústav,,,slk_Latn,0.8139,slk_Latn,0.8139,850.00,2,24,0.0417,1,0,0,1,0,0,0.3250,0.3913,0.5000,False,False,False,False,True,False,False,False,False,False,True
Clear,0.8000,CTX200603179,1,5,ÚAPPSČ PRAHA,ÚAPPSČ PRAHA,,,ces_Latn,0.9192,ces_Latn,0.9192,850.00,2,12,0.0000,0,1,0,0,0,0,0.1750,0.3636,0.3636,True,False,False,False,False,False,True,False,False,False,False
Noisy,0.5500,CTX200603179,1,6,09° 1 0 -04- 2006,09° 1 0 -04- 2006,,,eng_Latn,0.3609,eng_Latn,0.3609,37.00,5,17,0.1765,0,0,1,0,0,0,0.2100,0.0000,0.0000,False,False,False,False,False,True,False,False,False,False,False
Clear,0.9622,CTX200603179,1,7,Zprávu podává: DANIEL STOLZ,Zprávu podává: DANIEL STOLZ,,,ces_Latn,0.9998,ces_Latn,0.9998,51.25,4,27,0.0370,0,0,0,0,0,0,0.0000,0.3750,0.6087,False,False,False,False,False,False,True,False,False,False,False
Empty,0.0,CTX200603179,1,8,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Non-text,0.0,CTX200603179,1,9,"c,","c,",,,,0.0,,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.8000,CTX200603179,1,10,Čislo jednací: 424/05 Kl,Čislo jednací: 424/05 Kl,,,ces_Latn,0.8591,ces_Latn,0.8591,51.25,4,24,0.0833,0,0,0,0,0,0,0.0000,0.3125,0.3571,False,False,False,False,False,False,True,False,False,False,False
Empty,0.0,CTX200603179,1,11,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.9476,CTX200603179,1,12,Základní údaje:,Základní údaje:,,,ces_Latn,0.9988,ces_Latn,0.9988,13.38,2,15,0.0667,0,0,0,0,0,0,0.0000,0.4286,0.3846,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9464,CTX200603179,1,13,Katastrální území: Bítov u Koněprus,Katastrální území: Bítov u Koněprus,,,ces_Latn,0.9999,ces_Latn,0.9999,324.00,5,35,0.0286,0,0,0,0,0,0,0.0000,0.4194,0.4667,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9285,CTX200603179,1,14,Lokalita:,Lokalita:,,,ces_Latn,0.7500,dan_Latn,0.2785,153.00,1,9,0.1111,0,0,0,0,0,0,0.0000,0.4444,0.1250,False,False,False,False,False,False,True,False,False,False,False
Clear,0.8291,CTX200603179,1,15,Parcelní čislo: 18,Parcelní čislo: 18,,,ces_Latn,0.9998,ces_Latn,0.9998,115.50,3,18,0.0556,0,0,0,0,0,0,0.0000,0.3571,0.3846,False,False,False,False,False,False,True,False,False,False,False
